Wall time,Step,Value
1736718472.2591681,268,10535.6767578125
1736718480.8135798,297,10088.935546875
1736718485.1462882,312,9911.4931640625
1736718485.3816838,313,9900.728515625
1736718491.9611535,339,9676.57421875
1736718496.0255828,353,9585.6279296875
1736718497.051836,357,9562.6259765625
1736718503.1732323,378,9465.228515625
1736718514.175288,414,9344.875
1736718516.6703813,422,9324.474609375
1736718522.2079358,441,9284.6142578125
1736718526.3567338,453,9264.7314453125
1736718537.0053508,494,9214.8515625
1736718542.4749627,509,9200.919921875
1736718549.6549466,532,9180.916015625
1736718550.7392476,535,9178.529296875
1736718561.1414318,569,9154.6103515625
1736718578.191649,616,9125.892578125
1736718585.8038757,636,9114.76953125
1736718591.5688305,652,9106.4580078125
1736718596.6403968,665,9099.8388671875
1736718604.1472738,687,9089.28125
1736718614.7750177,715,9077.005859375
1736718619.292002,725,9072.53125
1736718621.5212073,731,9069.9287109375
1736718632.4496965,760,9056.3525390625
1736718641.2779958,783,9046.9169921875
1736718642.9942522,788,9045.01953125
1736718643.6146069,790,9044.2734375
1736718650.9112852,806,9038.623046875
1736718653.081762,812,9036.546875
1736718665.358047,844,9025.4296875
1736718666.048997,846,9024.759765625
1736718681.091635,887,9010.2587890625
1736718683.058601,893,9008.1025390625
1736718683.4304128,894,9007.65625
1736718689.8563209,908,9002.3623046875
1736718697.0471094,925,8996.228515625
1736718714.7473183,971,8980.5185546875
1736718731.183059,1014,8967.2080078125
1736718735.4449625,1025,8964.1044921875
1736718745.2969608,1054,8956.3681640625
1736718766.6676798,1107,8941.9443359375
1736718770.6188114,1116,8939.53125
1736718777.4998415,1136,8934.1220703125
1736718797.7034483,1192,9091.0751953125
1736718821.02052,1249,8469.9658203125
1736718826.7921631,1265,9088.8876953125
1736718828.7799969,1272,9134.333984375
1736718830.1247373,1276,9009.291015625
1736718834.8173718,1287,8821.5029296875
1736718842.4441555,1306,9076.337890625
1736718848.620346,1321,8725.58203125
1736718851.4050837,1327,8400.87109375
1736718864.1736364,1359,8343.3671875
1736718864.729551,1361,8352.80078125
1736718870.6023693,1375,8201.0673828125
1736718872.6255774,1382,8197.6630859375
1736718881.0273035,1401,8107.49169921875
1736718881.4331667,1402,8111.1533203125
1736718885.2100039,1414,8105.85498046875
1736718888.5360768,1424,8104.5439453125
1736718889.300141,1426,8104.29931640625
1736718892.2589684,1434,8103.51171875
1736718904.8125684,1468,8100.10009765625
1736718918.447075,1502,8096.62109375
1736718919.2894912,1504,8096.44384765625
1736718920.095599,1507,8096.24853515625
1736718921.4411783,1511,8095.85498046875
1736718923.6964328,1517,8095.25634765625
1736718925.2847052,1521,8094.91796875
1736718946.0471137,1575,8090.1376953125
1736718953.1435394,1595,8088.47802734375
1736718967.464413,1625,8086.1474609375
1736718968.010542,1626,8086.0693359375
