Wall time,Step,Value
1736718765.8980951,268,11297.080078125
1736718773.193638,297,10079.8310546875
1736718777.6725862,312,9758.216796875
1736718777.9051096,313,9743.7041015625
1736718785.1377993,339,9349.6640625
1736718789.2519548,353,9204.8583984375
1736718790.3608484,357,9169.427734375
1736718796.9321127,378,9014.7021484375
1736718807.9727137,414,8836.775390625
1736718810.9292457,422,8805.849609375
1736718816.5260978,441,8737.3876953125
1736718820.1251385,453,8698.6982421875
1736718833.332952,494,8594.6416015625
1736718838.2046487,509,8564.3525390625
1736718846.2790623,532,8520.810546875
1736718847.3667765,535,8515.275390625
1736718857.9979672,569,8459.892578125
1736718874.6905046,616,8394.6689453125
1736718882.07143,636,8370.001953125
1736718887.6309307,652,8352.748046875
1736718892.0588253,665,8339.982421875
1736718899.9697194,687,8319.0263671875
1736718911.0333297,715,8297.0234375
1736718914.699983,725,8289.4609375
1736718917.225738,731,8285.3583984375
1736718927.821028,760,8269.1357421875
1736718936.1619606,783,8256.9873046875
1736718938.0754457,788,8254.3232421875
1736718938.3035092,790,8253.326171875
1736718945.0295196,806,8244.998046875
1736718947.025077,812,8242.14453125
1736718958.8539402,844,8226.5322265625
1736718959.7630904,846,8225.599609375
1736718977.1120636,887,8207.9482421875
1736718979.2537339,893,8205.431640625
1736718979.546829,894,8205.005859375
1736718985.3935199,908,8199.7412109375
1736718991.3982992,925,8225.7783203125
1736719016.0978022,971,8184.23486328125
1736719040.0414333,1014,8160.08349609375
1736719045.8287528,1025,8156.56298828125
1736719059.3159478,1054,8147.00390625
1736719087.9972749,1107,8130.97412109375
1736719093.4628048,1116,8129.33837890625
1736719104.1938627,1136,8177.55859375
1736719133.5489998,1192,8109.70703125
1736719163.9092462,1249,8099.53662109375
1736719170.763131,1265,8096.80078125
1736719174.9040349,1272,8095.708984375
1736719176.6726005,1276,8094.95849609375
1736719182.0675244,1287,8093.05908203125
1736719200.2365942,1306,8189.130859375
1736719213.5271885,1321,8382.6328125
1736719217.1092515,1327,8877.9208984375
1736719233.4481626,1359,9172.80078125
1736719234.1685421,1361,9172.5361328125
1736719241.4983757,1375,9163.7294921875
1736719244.6601775,1382,9159.1123046875
1736719252.7090342,1401,9154.126953125
1736719253.910207,1402,9153.853515625
1736719259.3204598,1414,9150.8427734375
1736719262.932796,1424,9148.3662109375
1736719263.6349316,1426,9147.8876953125
1736719267.3068194,1434,9145.9873046875
1736719283.2967956,1468,9138.3525390625
1736719298.9583356,1502,9130.9267578125
1736719299.6149771,1504,9130.5087890625
1736719300.7544718,1507,9129.8779296875
1736719301.9587915,1511,9129.0380859375
1736719304.5022194,1517,9127.759765625
1736719306.4827292,1521,9126.9111328125
1736719331.3337486,1575,9115.9072265625
1736719338.7884235,1595,9111.794921875
1736719353.8493695,1625,9105.580078125
1736719354.2739298,1626,9105.373046875
1736719372.4543972,1667,9096.6552734375
1736719394.0543432,1707,9088.890625
1736719394.4738767,1708,9088.7041015625
1736719409.7553847,1744,9082.55859375
1736719414.0567527,1752,9081.3203125
1736719416.4086475,1760,9080.0849609375
1736719418.4787235,1763,9079.6201171875
1736719432.6948643,1798,9074.1728515625
1736719434.3926873,1801,9073.7060546875
1736719439.2733734,1815,9071.546875
1736719440.4615092,1818,9071.0869140625
1736719446.9039664,1835,9068.599609375
1736719449.8392167,1846,9066.9794921875
1736719461.7068374,1877,9060.9814453125
1736719464.964228,1885,9059.576171875
1736719478.6544342,1920,9054.8193359375
1736719484.4892151,1935,9052.875
1736719490.9456227,1952,9050.68359375
1736719491.8058698,1954,9050.4306640625
1736719494.042807,1961,9049.5439453125
1736719517.9288473,2027,9041.380859375
1736719543.4305487,2097,9033.2294921875
1736719548.9905195,2110,9031.76171875
1736719550.9144087,2117,9030.955078125
1736719563.6612487,2149,9027.0205078125
1736719564.7934887,2152,9026.6650390625
1736719567.6597776,2159,9025.8115234375
1736719579.2466264,2190,9021.9892578125
1736719587.7249784,2210,9019.392578125
1736719588.1295404,2211,9019.2646484375
1736719594.9634497,2229,9016.91796875
1736719630.721416,2320,9004.912109375
1736719633.9950233,2329,9003.86328125
1736719637.6615922,2339,9002.7138671875
1736719641.1967335,2350,9001.4443359375
1736719680.758118,2459,8989.6025390625
1736719692.777443,2489,8986.4208984375
1736719721.9480503,2569,9310.1806640625
1736719736.5821924,2609,8934.9345703125
1736719749.7486477,2644,9367.8271484375
1736719764.2026954,2686,8964.0869140625
1736719766.160426,2691,8538.1787109375
1736719771.692159,2704,9176.4775390625
1736719774.489465,2712,9113.9814453125
1736719775.8749986,2715,9031.041015625
1736719783.8575332,2735,9124.3564453125
1736719790.2446628,2753,8982.87109375
1736719795.5208716,2767,9230.6279296875
1736719796.452541,2769,8750.423828125
1736719799.9999793,2780,8538.2744140625
1736719818.8858502,2827,8032.25390625
1736719819.2683327,2828,8021.16650390625
1736719826.8894477,2849,8020.408203125
1736719837.082737,2877,8019.10400390625
1736719839.6797862,2885,8018.3642578125
1736719842.4700553,2893,8017.8896484375
1736719858.7607334,2934,8015.810546875
1736719861.950571,2943,8015.34375
1736719867.861716,2958,8014.626953125
1736719871.0324175,2967,8014.28173828125
1736719877.6632996,2984,8013.7900390625
1736719879.4969559,2990,8013.48486328125
1736719884.7766306,3003,8012.58349609375
1736719885.3818054,3004,8012.68212890625
1736719885.8086512,3005,8012.52490234375
1736719890.3189137,3015,8012.04296875
1736719891.4362698,3018,8011.9267578125
1736719896.8342228,3035,8011.2431640625
1736719906.8479085,3062,8009.93505859375
1736719914.2999332,3084,8008.9814453125
1736719918.1059349,3094,8008.5556640625
1736719925.5280442,3111,8007.8173828125
1736719946.834473,3171,8005.1591796875
1736719958.9529192,3202,8003.84814453125
1736719960.1775126,3205,8003.8603515625
1736719962.6256151,3212,8003.4208984375
1736719968.4621418,3223,8002.953125
1736719992.8864276,3284,8000.41259765625
1736720013.030185,3333,7998.39208984375
1736720013.3666854,3334,7998.71533203125
1736720020.6861818,3353,7997.7490234375
1736720021.0522451,3354,7997.6396484375
1736720021.4455655,3355,7997.587890625
1736720027.0228946,3369,7996.88818359375
1736720027.3453388,3370,7996.9638671875
1736720036.078513,3395,7995.900390625
1736720048.0586252,3423,7994.7255859375
1736720053.8993466,3442,7996.0947265625
1736720057.1874406,3449,7994.64892578125
1736720064.517379,3467,7993.60791015625
1736720065.4046614,3470,7993.3671875
1736720072.6027231,3491,7993.08935546875
1736720082.5120869,3515,7990.77197265625
1736720083.2823615,3518,7990.64208984375
1736720096.5760844,3556,7988.29296875
1736720107.8175755,3590,7989.044921875
1736720114.6388555,3606,7986.0322265625
1736720132.6344366,3654,7985.6572265625
1736720155.6232898,3711,7981.7255859375
1736720163.012533,3733,7980.0029296875
1736720163.3261416,3734,7980.05419921875
1736720165.4420633,3741,7980.13916015625
1736720168.6973007,3750,7979.16455078125
1736720177.8845937,3776,7978.0810546875
1736720193.1963,3816,7976.0966796875
1736720194.2780678,3819,7975.9814453125
1736720205.7746959,3850,7975.07666015625
1736720210.3513527,3863,7974.1396484375
1736720211.743285,3866,7974.0810546875
1736720227.3641891,3904,7972.5234375
1736720228.2246778,3907,7972.82275390625
1736720228.6369388,3909,7972.978515625
1736720229.0396945,3911,7972.408203125
1736720229.983912,3914,7972.79443359375
1736720231.0988626,3918,7972.6416015625
1736720232.1777186,3921,7972.06982421875
1736720238.9243472,3940,7971.28515625
1736720246.8337154,3962,7970.3447265625
1736720265.936412,4011,7967.85302734375
1736720273.4143333,4032,7966.81982421875
1736720297.105001,4098,7976.578125
1736720299.0070195,4100,7979.658203125
