Wall time,Step,Value
1736704087.5387628,268,10631.9384765625
1736704097.901255,297,10178.931640625
1736704104.5200217,312,10062.9873046875
1736704104.8255098,313,10056.3486328125
1736704115.4639776,339,9896.1572265625
1736704120.3802695,353,9823.8203125
1736704121.9559524,357,9804.3486328125
1736704130.9971611,378,9712.736328125
1736704145.7205513,414,9601.0712890625
1736704149.3288696,422,9580.5966796875
1736704156.2982676,441,9535.814453125
1736704161.4507484,453,9510.3056640625
1736704180.3574786,494,9442.8251953125
1736704188.1816444,509,9422.92578125
1736704197.735516,532,9392.4755859375
1736704199.0704544,535,9388.4716796875
1736704216.9917958,569,9347.2509765625
1736704239.484616,616,9299.646484375
1736704248.6238747,636,9280.0478515625
1736704255.0625284,652,9265.697265625
1736704260.370014,665,9254.75390625
1736704269.8848388,687,9238.701171875
1736704284.001032,715,9221.0341796875
1736704288.6686811,725,9214.9765625
1736704291.1971898,731,9211.580078125
1736704305.647367,760,9194.787109375
1736704315.9523811,783,9181.1494140625
1736704318.9016268,788,9178.32421875
1736704319.7272193,790,9177.205078125
1736704328.6907184,806,9168.8076171875
1736704331.6634007,812,9165.8759765625
1736704346.7575965,844,9150.875
1736704347.811295,846,9149.9833984375
1736704367.23079,887,9132.677734375
1736704370.1969852,893,9130.0634765625
1736704370.4858146,894,9129.671875
1736704377.7842877,908,9123.9794921875
1736704386.2327192,925,9117.0673828125
1736704407.7331696,971,9096.5419921875
1736704430.1249616,1014,9079.076171875
1736704435.1611445,1025,9075.001953125
1736704450.534682,1054,9061.77734375
1736704475.874432,1107,9044.1474609375
1736704480.86934,1116,9041.6064453125
1736704491.9348037,1136,9036.130859375
1736704520.0616624,1192,9021.4775390625
1736704547.1800523,1249,9008.79296875
1736704553.759576,1265,9005.55859375
1736704557.0480595,1272,9004.244140625
1736704559.0331724,1276,9003.48828125
1736704564.699429,1287,9001.458984375
1736704574.7080896,1306,8998.0078125
1736704582.284832,1321,8995.3486328125
1736704584.7871914,1327,8994.296875
1736704598.6603289,1359,8988.5322265625
1736704599.5895154,1361,8988.1640625
1736704606.8352146,1375,8985.6259765625
1736704609.3582458,1382,8984.3759765625
1736704620.7868047,1401,8981.0302734375
1736704621.306931,1402,8980.853515625
1736704627.590402,1414,8978.7236328125
1736704632.962388,1424,8976.9111328125
1736704633.8790867,1426,8976.5478515625
1736704637.8126392,1434,8975.095703125
1736704654.437738,1468,8969.123046875
1736704673.0195608,1502,8963.7841796875
1736704674.1606622,1504,8963.4697265625
1736704675.5080569,1507,8962.9990234375
1736704676.8088486,1511,8962.3759765625
1736704679.098897,1517,8961.447265625
1736704680.7212,1521,8960.8271484375
1736704704.5259683,1575,8952.328125
1736704713.4763076,1595,8949.212890625
1736704729.972804,1625,8944.791015625
1736704730.6229887,1626,8944.640625
1736704749.6293263,1667,8950.6201171875
1736704768.5028162,1707,8985.5
1736704768.8180935,1708,8978.7177734375
1736704786.107292,1744,9382.7216796875
1736704790.3524587,1752,8966.0244140625
1736704794.0892606,1760,8872.546875
1736704795.6367981,1763,9270.486328125
1736704811.8024814,1798,8696.3076171875
1736704814.902117,1801,8094.791015625
1736704821.4032488,1815,8975.8193359375
1736704822.7843814,1818,8981.7939453125
1736704831.1409345,1835,8942.619140625
1736704836.0445535,1846,8451.6318359375
1736704850.5068915,1877,8930.591796875
1736704854.270751,1885,8459.8564453125
1736704875.1959522,1920,8927.5322265625
1736704885.4603248,1935,8244.609375
1736704899.6260867,1952,8075.04296875
1736704900.9481208,1954,8076.0400390625
1736704907.118316,1961,8065.02880859375
1736704958.0406773,2027,8051.6357421875
1736705003.7762122,2097,8046.96630859375
1736705015.527607,2110,8046.12060546875
1736705019.7091136,2117,8045.775390625
1736705043.2465923,2149,8043.8349609375
1736705045.7158768,2152,8043.77880859375
1736705050.9565678,2159,8043.431640625
1736705075.419352,2190,8041.5654296875
1736705091.128095,2210,8041.1083984375
1736705091.612383,2211,8040.99853515625
1736705103.0137897,2229,8039.28125
1736705164.1324344,2320,8033.96923828125
1736705168.2875335,2329,8033.4560546875
1736705172.4355695,2339,8032.8623046875
1736705177.3133287,2350,8032.18994140625
1736705230.2240531,2459,8025.54443359375
1736705243.150812,2489,8023.66552734375
1736705279.086119,2569,8019.0498046875
1736705300.8784444,2609,8016.49560546875
1736705317.6770973,2644,8014.03466796875
1736705339.1993542,2686,8013.3505859375
1736705341.6895552,2691,8013.0927734375
1736705348.37758,2704,8012.6904296875
1736705352.2095485,2712,8012.21142578125
1736705353.711581,2715,8011.94482421875
1736705362.7930412,2735,8010.6357421875
1736705371.7186368,2753,8009.46142578125
1736705379.9276366,2767,8008.85498046875
1736705381.0137568,2769,8008.5009765625
1736705386.2882142,2780,8008.19970703125
1736705410.0520132,2827,8002.7431640625
1736705410.547239,2828,8002.80029296875
1736705420.4304574,2849,8001.35009765625
1736705434.0459998,2877,7999.5498046875
1736705438.076705,2885,7999.15673828125
1736705441.9613373,2893,7998.64794921875
1736705461.990046,2934,7998.31494140625
1736705466.4076147,2943,8001.00341796875
1736705473.862315,2958,8000.689453125
1736705478.5719597,2967,8002.41748046875
1736705486.4065106,2984,8001.60888671875
1736705489.3582973,2990,8000.86181640625
1736705496.5982397,3003,7998.0439453125
1736705497.26729,3004,7998.07080078125
1736705497.6787796,3005,7997.22998046875
1736705502.9161012,3015,7995.751953125
1736705504.5875134,3018,7997.9521484375
1736705511.8486779,3035,7995.4619140625
1736705524.3468695,3062,7989.3671875
1736705534.88493,3084,7988.09765625
1736705539.8508267,3094,7987.625
1736705548.1793737,3111,7986.61279296875
1736705576.197629,3171,7983.1962890625
1736705593.6454077,3202,7981.2509765625
1736705595.0673385,3205,7981.15380859375
1736705598.2047215,3212,7980.6181640625
1736705604.5607798,3223,7979.9130859375
1736705632.3908682,3284,7976.1103515625
1736705654.926383,3333,9123.544921875
1736705655.3671644,3334,9095.9169921875
1736705663.3934746,3353,8802.806640625
1736705663.6105645,3354,8640.69140625
1736705664.073959,3355,8928.8525390625
1736705669.924885,3369,9024.4248046875
1736705670.4276628,3370,9008.7822265625
1736705681.6092815,3395,8836.5439453125
1736705697.8405015,3423,8961.837890625
1736705706.2097018,3442,8917.3193359375
1736705709.0510433,3449,8107.48974609375
1736705716.4506714,3467,8960.6611328125
1736705717.8517437,3470,8968.7392578125
1736705727.3404548,3491,8922.8740234375
1736705739.1783698,3515,8930.607421875
1736705740.8093548,3518,8892.7109375
1736705760.2878144,3556,7977.09326171875
1736705774.8600574,3590,7973.1982421875
1736705783.8876667,3606,7972.47900390625
1736705811.1169236,3654,7970.1533203125
1736705848.0794408,3711,7967.62109375
1736705858.9842007,3733,7966.67919921875
1736705859.4612749,3734,7966.63623046875
1736705862.7815993,3741,7966.33642578125
1736705866.6185899,3750,7965.9482421875
1736705879.4103582,3776,7964.8017578125
1736705899.9252944,3816,7963.06787109375
1736705901.4002423,3819,7962.89111328125
1736705916.0967457,3850,7961.51318359375
1736705922.4328048,3863,7960.9501953125
1736705923.9664507,3866,7960.814453125
1736705944.5483384,3904,7959.2373046875
1736705945.5270524,3907,7959.11328125
1736705946.5076199,3909,7959.03125
1736705947.549317,3911,7958.953125
1736705948.1905673,3914,7958.83447265625
1736705950.2012634,3918,7958.67626953125
1736705951.9329312,3921,7958.5576171875
1736705961.766803,3940,7957.8056640625
1736705972.8994648,3962,7957.04150390625
1736705997.236472,4011,7955.052734375
1736706006.9077792,4032,7954.22021484375
1736706038.7919288,4098,7951.7275390625
1736706040.6359468,4100,7951.6240234375
1736706049.4456596,4119,7950.875
1736706064.9416583,4152,7949.630859375
1736706069.7716117,4161,7949.2900390625
1736706071.6294014,4165,7949.14501953125
1736706074.084869,4171,7948.9453125
1736706080.067962,4183,7948.4970703125
1736706081.4560306,4186,7948.37841796875
1736706101.4887698,4225,7946.9658203125
1736706119.6528277,4262,7945.63037109375
1736706120.5991411,4264,7945.564453125
1736706123.9078329,4273,7945.24609375
1736706129.204666,4284,7944.861328125
1736706131.4950275,4290,7944.6455078125
1736706134.8205836,4297,7944.39404296875
1736706155.067139,4334,7943.0869140625
1736706166.049099,4359,7942.27197265625
1736706170.0632837,4365,7942.427734375
1736706172.9302542,4371,7941.74169921875
1736706174.8375385,4374,7941.642578125
1736706185.4332438,4396,7940.91015625
1736706205.1837027,4431,7939.990234375
1736706210.2228162,4442,7939.32080078125
1736706225.801343,4477,7938.02392578125
1736706242.361405,4507,7937.07958984375
1736706272.1281986,4568,7934.91455078125
1736706277.3765497,4578,7934.6064453125
1736706313.4257326,4645,7932.57080078125
1736706338.2721274,4693,7930.6982421875
1736706344.8133445,4704,7930.349609375
1736706378.0993507,4775,7975.0087890625
1736706382.4059093,4785,7963.693359375
1736706383.9049351,4789,7947.193359375
1736706397.377068,4814,7936.14599609375
1736706418.9622543,4859,7935.9638671875
1736706420.572043,4862,7932.8330078125
1736706437.385961,4899,7929.80810546875
1736706458.3970675,4936,7922.44091796875
1736706459.7840524,4940,7923.16455078125
1736706460.9075446,4942,7922.32763671875
1736706463.7513418,4948,7922.07177734375
1736706467.888518,4957,7921.7890625
1736706478.905361,4980,7921.060546875
1736706482.9792657,4987,7921.1142578125
1736706502.6512868,5026,7920.361328125
1736706503.140277,5027,7920.013671875
1736706518.6645398,5057,7918.6123046875
1736706530.688362,5080,7917.80126953125
1736706531.5798228,5082,7917.7099609375
1736706532.892997,5085,7917.59716796875
1736706533.4019704,5086,7917.59228515625
1736706538.8995857,5094,7917.2998046875
1736706556.8920574,5132,7916.0009765625
1736706570.7402596,5160,7915.0830078125
1736706578.7844698,5179,7914.40966796875
1736706584.9683654,5190,7914.0712890625
1736706589.11733,5199,7913.73974609375
1736706604.279777,5230,7912.68115234375
1736706609.4112012,5241,7912.345703125
1736706638.2901433,5297,7910.6650390625
1736706648.7328353,5316,8107.78076171875
1736706655.2076273,5329,8821.8642578125
1736706659.2550154,5338,8915.48046875
1736706660.1449864,5340,8909.6025390625
1736706681.0358403,5382,7931.71875
1736706683.153598,5386,7989.62060546875
1736706684.7999008,5390,7951.2255859375
1736706690.3040435,5401,7986.42138671875
1736706691.2910416,5404,7972.6435546875
1736706692.0350757,5405,7942.271484375
1736706709.18402,5437,7954.29541015625
1736706715.562421,5450,7928.10791015625
1736706723.351302,5468,7907.87255859375
1736706726.3830278,5475,7907.71337890625
1736706731.9541638,5488,7907.47998046875
1736706739.6807153,5503,7907.015625
1736706744.189039,5512,7906.853515625
1736706745.3980303,5515,7906.73583984375
1736706759.3433945,5545,7906.05908203125
1736706771.7229378,5569,7905.52783203125
1736706773.0408971,5572,7905.462890625
1736706773.9677546,5574,7905.42138671875
1736706775.9317014,5578,7905.34765625
1736706792.5836973,5612,7904.5908203125
1736706795.7437367,5620,7904.4150390625
1736706810.2720957,5653,7903.71435546875
1736706831.3565533,5695,7902.7578125
1736706836.8880894,5704,7902.55810546875
1736706839.1732352,5709,7902.45166015625
1736706860.8457818,5754,7901.5283203125
1736706863.2721536,5759,7901.34912109375
1736706868.4089978,5771,7901.10595703125
1736706892.335998,5817,7900.0693359375
1736706937.0068493,5917,7897.849609375
1736706968.7654183,5980,7896.490234375
1736706984.2886467,6008,7895.8935546875
1736706995.0646029,6031,7895.40087890625
1736707020.26914,6082,7894.29541015625
1736707037.134306,6116,7893.62646484375
1736707042.9187553,6129,7894.90380859375
1736707073.7672546,6198,7891.61962890625
1736707079.2835653,6206,7891.43212890625
1736707083.1168127,6214,7891.21826171875
1736707090.922156,6231,7891.97314453125
1736707098.4668028,6247,7890.537109375
1736707103.4013686,6259,7891.06201171875
1736707120.8084397,6295,7889.79931640625
1736707125.9990654,6303,7889.47216796875
1736707138.4002175,6328,7889.54345703125
1736707155.137321,6361,7889.6884765625
1736707156.1446297,6363,7888.3173828125
1736707166.3375762,6383,7916.60400390625
1736707168.7543447,6388,7902.9931640625
1736707169.8713865,6390,7921.9130859375
1736707170.5998576,6392,7903.21337890625
1736707210.036756,6475,7904.60009765625
1736707218.3501322,6493,7906.16259765625
1736707237.4932818,6529,7883.66748046875
1736707238.7301683,6531,7883.72607421875
1736707247.3328655,6550,7883.16357421875
