Wall time,Step,Value
1736771842.5617092,268,5306.3779296875
1736771850.2624567,297,4464.234375
1736771855.788537,312,4322.67529296875
1736771856.0241601,313,4311.4970703125
1736771863.0235884,339,4148.84326171875
1736771867.0191264,353,4081.7529296875
1736771868.2816832,357,4065.0771484375
1736771875.3083262,378,3987.71923828125
1736771885.716766,414,3904.646484375
1736771888.1239765,422,3890.355712890625
1736771893.3683474,441,3862.033935546875
1736771897.4725878,453,3847.12890625
1736771908.7890923,494,3808.231201171875
1736771913.909525,509,3797.76123046875
1736771921.2602773,532,3783.86083984375
1736771922.284824,535,3782.18798828125
1736771934.5837355,569,3766.030029296875
1736771950.3781419,616,3747.4609375
1736771958.5613725,636,3741.205322265625
1736771964.2809186,652,3736.55908203125
1736771968.9592576,665,3732.83154296875
1736771975.0676932,687,3727.02685546875
1736771985.4670057,715,3720.006591796875
1736771989.0463367,725,3717.60107421875
1736771991.7526426,731,3716.193115234375
1736772001.4229052,760,3709.82373046875
1736772009.1879175,783,3704.929443359375
1736772010.929512,788,3703.858154296875
1736772012.0189753,790,3703.4287109375
1736772018.8200052,806,3699.978515625
1736772021.1573107,812,3698.649658203125
1736772033.0510495,844,3691.652587890625
1736772033.7328,846,3691.212890625
1736772047.6470647,887,3682.254638671875
1736772050.21178,893,3680.916748046875
1736772050.6287148,894,3680.689208984375
1736772056.669209,908,3677.521728515625
1736772063.3258405,925,3673.834228515625
1736772079.3083081,971,3665.246337890625
1736772097.7189379,1014,3657.2548828125
1736772102.6384115,1025,3655.20751953125
1736772113.593661,1054,3649.954833984375
1736772134.6223361,1107,3640.390380859375
1736772138.2194054,1116,3638.81396484375
1736772145.6978347,1136,3635.289794921875
1736772164.8732002,1192,3625.655029296875
1736772187.3970673,1249,3615.947509765625
1736772193.4693604,1265,3613.205078125
1736772195.8627458,1272,3612.00830078125
1736772197.3459275,1276,3611.333984375
1736772201.9871087,1287,3609.5498046875
1736772209.7679048,1306,3606.517578125
1736772216.3719344,1321,3604.219970703125
1736772218.5240095,1327,3603.33349609375
1736772229.881406,1359,3599.124267578125
1736772230.6608377,1361,3598.6357421875
1736772236.3044782,1375,3596.74169921875
1736772238.9708393,1382,3595.96044921875
1736772246.4018464,1401,3593.1923828125
