Wall time,Step,Value
1736672726.5774434,268,5944.55078125
1736672736.4830933,297,5850.8310546875
1736672742.65991,312,5822.123046875
1736672743.0216403,313,5819.45263671875
1736672752.7052972,339,5786.9609375
1736672757.7988944,353,5773.96630859375
1736672759.214484,357,5769.82177734375
1736672767.7845569,378,5753.57275390625
1736672782.8729746,414,5730.853515625
1736672785.721952,422,5727.14990234375
1736672794.0339882,441,5717.388671875
1736672799.0022454,453,5711.9619140625
1736672815.3453517,494,5691.5908203125
1736672823.3597186,509,5684.5791015625
1736672830.9853783,532,5673.49560546875
1736672831.799748,535,5674.8564453125
1736672845.5077674,569,5657.81396484375
1736672870.0330665,616,5638.03466796875
1736672879.307227,636,5630.4501953125
1736672886.7394948,652,5626.736328125
1736672892.7491567,665,5619.72705078125
1736672902.4168997,687,5611.69384765625
1736672916.3081496,715,5603.63720703125
1736672920.2266066,725,5600.89599609375
1736672923.3977256,731,5599.20458984375
1736672935.1644037,760,5592.23486328125
1736672944.9373817,783,5586.91845703125
1736672947.1640308,788,5585.7548828125
1736672948.2400234,790,5586.01123046875
1736672956.3798766,806,5581.771484375
1736672959.8729427,812,5580.33544921875
1736672973.7577307,844,5573.5390625
1736672974.683707,846,5572.71826171875
1736672992.6261973,887,5567.62744140625
1736672995.0816646,893,5563.73388671875
1736672995.5770118,894,5563.8232421875
1736673001.5113745,908,5561.0849609375
1736673008.2688453,925,5558.1552734375
1736673030.281854,971,5551.21142578125
1736673050.1276605,1014,5543.57421875
1736673055.3242865,1025,5541.8173828125
1736673067.7638,1054,5537.6630859375
1736673092.9640164,1107,5529.70361328125
1736673097.1585166,1116,5528.4609375
1736673106.1985903,1136,5525.69580078125
1736673130.7673612,1192,5518.1201171875
1736673157.4406738,1249,5511.45751953125
1736673164.0330358,1265,5509.728515625
1736673167.6805108,1272,5509.40576171875
1736673169.605861,1276,5508.45263671875
1736673174.8741584,1287,5507.39892578125
1736673184.5987236,1306,5504.99951171875
1736673191.0341644,1321,5503.53369140625
1736673193.9237113,1327,5502.92236328125
1736673207.2902694,1359,5500.02880859375
1736673208.0287302,1361,5499.82177734375
1736673214.497514,1375,5498.1767578125
1736673217.3999877,1382,5497.482421875
1736673225.7871952,1401,5496.3955078125
1736673226.3527362,1402,5495.9140625
1736673231.9390945,1414,5494.751953125
1736673236.1659582,1424,5495.29248046875
1736673236.9500475,1426,5494.12890625
1736673240.7373972,1434,5492.8134765625
1736673256.2191257,1468,5489.8134765625
1736673271.5121374,1502,5487.56884765625
1736673272.371777,1504,5486.740234375
1736673273.8133712,1507,5486.46337890625
1736673275.6709747,1511,5487.8740234375
1736673278.5622356,1517,5486.76123046875
1736673280.2317681,1521,5485.90673828125
1736673304.4471812,1575,5482.11328125
1736673313.6379669,1595,5480.154296875
1736673329.1245806,1625,5478.0126953125
1736673329.5059302,1626,5477.490234375
1736673347.9689574,1667,5475.45703125
1736673366.0107367,1707,5471.638671875
1736673366.2083495,1708,5471.41748046875
1736673381.3427877,1744,5468.78125
1736673385.0639,1752,5468.05615234375
1736673389.138565,1760,5468.0888671875
1736673390.1078737,1763,5467.4228515625
1736673405.4095554,1798,5464.88330078125
1736673408.49302,1801,5464.5927734375
1736673414.4394982,1815,5463.57568359375
1736673416.0286484,1818,5463.10791015625
1736673423.646346,1835,5462.25390625
1736673429.0892863,1846,5461.55322265625
1736673442.9335968,1877,5459.0732421875
1736673446.9396644,1885,5458.56689453125
1736673463.1632447,1920,5456.24658203125
1736673469.5929554,1935,5455.27880859375
1736673477.564765,1952,5454.681640625
1736673478.2292612,1954,5454.38330078125
1736673481.1038833,1961,5453.6904296875
1736673519.1976044,2027,5449.53759765625
1736673552.8278859,2097,5467.09912109375
1736673559.0543506,2110,5527.05517578125
