Wall time,Step,Value
1726609183.79143,18,0.24224743247032166
1726609203.5569987,47,0.36127394437789917
1726609214.33509,62,0.4622678756713867
1726609214.75736,63,0.45318353176116943
1726609233.2837188,89,0.22513434290885925
1726609243.026085,103,0.22449304163455963
1726609245.9921737,107,0.20548778772354126
1726609261.9167852,128,0.25348007678985596
1726609289.3250332,164,0.44462862610816956
1726609295.433071,172,0.29412850737571716
1726609309.3449333,191,0.18930810689926147
1726609317.8557558,203,0.22956383228302002
1726609336.6462457,229,0.19736215472221375
1726609348.152747,244,0.3133239150047302
1726609358.5613909,259,0.4061109721660614
1726609376.4361496,282,0.20370060205459595
1726609378.2692487,285,0.19290386140346527
1726609401.4027483,316,0.21028190851211548
1726609403.0893178,319,0.19021201133728027
1726609438.5583918,366,0.20765134692192078
1726609453.1171112,386,0.17981186509132385
1726609465.1251845,402,0.20333576202392578
1726609474.7114465,415,0.6834246516227722
1726609490.373098,437,0.5299164652824402
1726609497.0506368,446,0.2063143253326416
1726609507.6531768,461,0.18576876819133759
1726609510.7319002,465,0.1966589242219925
1726609517.9629505,475,0.21650825440883636
1726609522.796333,481,0.19941727817058563
1726609544.4552426,510,0.33504948019981384
1726609561.0165088,533,0.19170309603214264
1726609564.6744409,538,0.1842653900384903
1726609566.205114,540,0.18295465409755707
1726609577.8605719,556,0.19160008430480957
1726609582.098314,562,0.21719247102737427
1726609605.3819177,594,0.19858399033546448
1726609606.9866207,596,0.2121891975402832
1726609636.2965431,637,0.21653108298778534
1726609640.6819088,643,0.4154840111732483
1726609641.630714,644,0.9129840731620789
1726609651.4950757,658,0.18521535396575928
1726609663.9094234,675,0.20861239731311798
1726610051.124706,721,0.18258993327617645
1726610081.3436549,764,0.19440577924251556
1726610089.9610095,775,0.18321849405765533
1726610109.9513235,804,0.29151615500450134
1726610147.934249,857,0.2598339319229126
1726610154.228174,866,0.20782367885112762
1726610168.0364344,886,0.6432283520698547
1726610209.829008,942,0.22381365299224854
1726610251.4429197,999,0.1980934590101242
1726610262.94523,1015,0.20210689306259155
1726610267.9156673,1022,0.26663342118263245
1726610271.1746793,1026,0.5637187957763672
1726610279.619211,1037,0.22663819789886475
1726610292.7891972,1056,0.26110225915908813
1726610304.2320893,1071,0.19047999382019043
1726610308.6041584,1077,0.20066341757774353
1726610324.0870907,1098,0.24484752118587494
1726610332.488199,1109,0.4240797162055969
1726610333.8429043,1111,3.2118515968322754
1726610343.761438,1125,0.23209545016288757
1726610348.8522217,1132,0.30704981088638306
1726610362.8967836,1151,1.4441145658493042
1726610363.2624202,1152,0.7867789268493652
1726610371.6986508,1164,0.25539630651474
1726610379.2801893,1174,0.3360770046710968
1726610380.917087,1176,0.26088088750839233
1726610386.5760236,1184,0.7633016109466553
1726610411.6761348,1218,0.3813045024871826
1726610436.975006,1252,0.26136526465415955
1726610438.442622,1254,0.22827240824699402
1726610441.0783556,1257,0.24452023208141327
1726610443.7134771,1261,0.7244635224342346
1726610448.274608,1267,0.8177847266197205
1726610451.3103976,1271,0.38094109296798706
1726610490.6482575,1325,0.2867433428764343
1726610505.07552,1345,0.29115697741508484
1726610526.888056,1375,0.4402318596839905
1726610527.3782072,1376,0.6031727194786072
1726610888.5835419,1417,0.4551040530204773
1726610917.3587966,1457,0.3601367175579071
1726610917.7359571,1458,0.39072853326797485
1726610943.7539172,1494,0.3977179229259491
1726610949.6188874,1502,0.2511249780654907
1726610954.953003,1510,0.4241003692150116
1726610957.4632654,1513,0.47819405794143677
1726610982.6297994,1548,0.3287023901939392
1726610984.9651523,1551,0.4022037088871002
1726610994.6709063,1565,0.24782127141952515
1726610996.5564163,1568,0.2909257709980011
1726611008.949172,1585,0.39981573820114136
1726611016.8076668,1596,0.5242295861244202
1726611039.5102994,1627,0.6757636070251465
1726611044.9742208,1635,0.27581968903541565
1726611069.4922402,1670,0.3358093500137329
1726611079.8044538,1685,0.22114422917366028
1726611092.4625742,1702,0.6723910570144653
1726611093.7772384,1704,0.23680023849010468
1726611098.3494608,1711,0.2923804521560669
1726611145.6750543,1777,0.38366562128067017
1726611195.6865938,1847,0.8400450944900513
1726611205.133378,1860,0.3558626174926758
1726611209.5143285,1867,0.30312567949295044
1726611233.0644174,1899,0.25697678327560425
1726611235.5158126,1902,0.32624751329421997
1726611240.3707886,1909,0.33999788761138916
1726611263.0345123,1940,0.6033739447593689
1726611266.0582833,1945,0.3057049512863159
1726611276.9035988,1960,0.27599284052848816
1726611277.402683,1961,0.26886624097824097
1726611289.9851182,1979,0.2525138556957245
1726611355.1771498,2070,0.2951010465621948
